title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
グランスイート四谷二丁目レジデンス,東京都新宿区四谷２,"
ＪＲ総武線/四ツ谷駅 歩5分
東京メトロ丸ノ内線/四谷三丁目駅 歩4分
都営新宿線/曙橋駅 歩9分
","
築8年
13階建
","
											3階",23.8万円,16000円,47.6万円,-,2LDK,54.04m2
グランスイート四谷二丁目レジデンス,東京都新宿区四谷２,"
ＪＲ総武線/四ツ谷駅 歩5分
東京メトロ丸ノ内線/四谷三丁目駅 歩4分
都営新宿線/曙橋駅 歩9分
","
築8年
13階建
","
											10階",28.8万円,12000円,57.6万円,28.8万円,3LDK,65.67m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											7階",10.8万円,10000円,10.8万円,10.8万円,1K,21.42m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											3階",15.8万円,10000円,15.8万円,-,1LDK,37.65m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											7階",16.2万円,10000円,16.2万円,16.2万円,1LDK,37.65m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											9階",16.4万円,10000円,16.4万円,16.4万円,1LDK,37.65m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											9階",23.7万円,15000円,23.7万円,23.7万円,2LDK,53.1m2
レジディア市ヶ谷,東京都新宿区市谷本村町,"
東京メトロ有楽町線/市ケ谷駅 歩5分
東京メトロ南北線/市ケ谷駅 歩5分
ＪＲ総武線/四ツ谷駅 歩6分
","
築18年
地下1地上14階建
","
											12階",25.3万円,15000円,25.3万円,25.3万円,2LDK,56.5m2
コンフォリア中落合,東京都新宿区中落合２,"
西武新宿線/下落合駅 歩6分
都営大江戸線/中井駅 歩12分
西武池袋線/椎名町駅 歩14分
","
築12年
3階建
","
											1階",8万円,10000円,8万円,-,1K,25.41m2
コンフォリア中落合,東京都新宿区中落合２,"
西武新宿線/下落合駅 歩6分
都営大江戸線/中井駅 歩12分
西武池袋線/椎名町駅 歩14分
","
築12年
3階建
","
											1階",8.7万円,10000円,8.7万円,-,1K,30.63m2
